Custom field (Hospital Name),Custom field (1a. How many Fee For Service (FFS) Medicare patients were discharged from acute hospital care at home in the last calendar month?),Custom field (1b. How many non-managed care Medicaid patients were discharged from acute hospital care at home in the last calendar month?),Custom field (1c. How many discharges involved patients who had both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),"Custom field (2a. Excluding patients on hospice and those not on hospice but whose death was expected by the care team and the patient and their family/caregivers, how many FFS Medicare patients died during their hospitalization in the past calendar month?)","Custom field (2b. Excluding patients on hospice and those not on hospice but whose death was expected by the care team and the patient and their family/caregivers, how many non-managed care Medicaid patients died during their hospitalization in the past calendar mo...)",Custom field (2c. How many patients died during their hospitalization in the past calendar month who had both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),Custom field (3a. How many FFS Medicare patients required transfer back and admission to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month?),Custom field (3b. How many non-managed care Medicaid patients required transfer back and admission to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month?),Custom field (3c. How many patient discharges involved a transfer to the traditional inpatient hospital setting from their acute hospital care at home in the past calendar month and had coverage by both FFS Medicare and FFS Medicaid (Dual-Eligibles)?),Custom field (4. Has your acute hospital care at home safety committee reviewed the metrics being reported in this monthly report?),Custom field (CCN),Issue Type,Custom field (Measure From Date),Custom field (Measure To Date),Priority,Reporter,Summary,Created,Status
Indian Path Community Hospital,0,0,0,0,0,0,0,0,0,No,440176,AHCAH Measure - Tier 1,May/01/2022 12:00 AM,May/31/2022 12:00 AM,Medium,ess_service_account,Indian Path Community Hospital: Measures for 2022-05-01 - 2022-05-31,Jun/01/2022 11:15 AM,Measures Submitted
Mercy Hospital St. Louis,0,0,0,0,0,0,0,0,0,No,260020,AHCAH Measure - Tier 1,May/01/2022 12:00 AM,May/31/2022 12:00 AM,Medium,ess_service_account,Mercy Hospital St. Louis: Measures for 2022-05-01 - 2022-05-31,Jun/01/2022 10:55 AM,Measures Submitted
Greenville Memorial Hospital,0,0,0,0,0,0,0,0,0,No,420078,AHCAH Measure - Tier 1,May/01/2022 12:00 AM,May/31/2022 12:00 AM,Medium,ess_service_account,Greenville Memorial Hospital: Measures for 2022-05-01 - 2022-05-31,Jun/01/2022 10:49 AM,Measures Submitted
Indiana University Health Methodist Hospital,0,0,0,0,0,0,0,0,0,No,150056,AHCAH Measure - Tier 1,May/01/2022 12:00 AM,May/31/2022 12:00 AM,Medium,ess_service_account,Indiana University Health Methodist Hospital: Measures for 2022-05-01 - 2022-05-31,Jun/01/2022 8:01 AM,Measures Submitted
Scripps Memorial Hospital Encinitas,0,0,0,0,0,0,0,0,0,No,50503,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Scripps Memorial Hospital Encinitas: Measures for 2022-04-01 - 2022-04-30,May/16/2022 3:49 PM,Measures Submitted
Mount Sinai Hospital,4,0,0,0,0,0,1,0,0,Yes,330024,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,High,ess_service_account,Mount Sinai Hospital: Measures for 2022-04-01 - 2022-04-30,May/09/2022 11:03 AM,Measures Submitted
Johnson City Medical Center,0,0,0,0,0,0,0,0,0,No,440063,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Johnson City Medical Center: Measures for 2022-04-01 - 2022-04-30,May/09/2022 10:40 AM,Measures Submitted
Holston Valley Medical Center,0,0,0,0,0,0,0,0,0,No,440017,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Holston Valley Medical Center: Measures for 2022-04-01 - 2022-04-30,May/09/2022 10:38 AM,Measures Submitted
Bristol Regional Medical Center,0,0,0,0,0,0,0,0,0,No,440012,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Bristol Regional Medical Center: Measures for 2022-04-01 - 2022-04-30,May/09/2022 10:38 AM,Measures Submitted
Indian Path Community Hospital,0,0,0,0,0,0,0,0,0,No,440176,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Indian Path Community Hospital: Measures for 2022-04-01 - 2022-04-30,May/09/2022 10:37 AM,Measures Submitted
Indian Path Community Hospital,0,0,0,0,0,0,0,0,0,No,440176,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Indian Path Community Hospital: Measures for 2022-04-01 - 2022-04-30,May/09/2022 10:36 AM,Measures Submitted
Mercy Hospital St. Louis,0,0,0,0,0,0,0,0,0,No,260020,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Mercy Hospital St. Louis: Measures for 2022-04-01 - 2022-04-30,May/09/2022 9:02 AM,Measures Submitted
Regions Hospital,1,0,0,0,0,0,0,0,0,Yes,240106,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Regions Hospital: Measures for 2022-04-01 - 2022-04-30,May/09/2022 8:56 AM,Measures Submitted
Mount Sinai Morningside Hospital,0,0,0,0,0,0,0,0,0,No,330046,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Mount Sinai Morningside Hospital: Measures for 2022-04-01 - 2022-04-30,May/09/2022 8:41 AM,Measures Submitted
Mount Sinai Morningside Hospital,0,0,0,0,0,0,0,0,0,No,330046,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Mount Sinai Morningside Hospital: Measures for 2022-04-01 - 2022-04-30,May/09/2022 8:38 AM,Measures Submitted
Methodist Hospital,0,0,0,0,0,0,0,0,0,No,240053,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Methodist Hospital: Measures for 2022-04-01 - 2022-04-30,May/09/2022 8:36 AM,Measures Submitted
Kaiser Foundation Hospital - Westside,0,0,0,0,0,0,0,0,0,Yes,380103,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Kaiser Foundation Hospital - Westside: Measures for 2022-04-01 - 2022-04-30,May/06/2022 5:17 PM,Measures Submitted
Kaiser Sunnyside Medical Center,0,0,0,0,0,0,0,0,0,Yes,380091,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Kaiser Sunnyside Medical Center: Measures for 2022-04-01 - 2022-04-30,May/06/2022 5:16 PM,Measures Submitted
Brigham and Women's Hospital,19,10,6,0,0,0,0,0,0,Yes,220110,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Brigham and Women's Hospital: Measures for 2022-04-01 - 2022-04-30,May/06/2022 5:14 PM,Measures Submitted
WakeMed Health and Hospitals- Raleigh,3,1,1,0,0,0,0,0,0,Yes,340069,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Raleigh: Measures for 2022-04-01 - 2022-04-30,May/06/2022 3:20 PM,Measures Submitted
WakeMed Health and Hospitals- Cary,3,0,0,0,0,0,0,0,0,Yes,340173,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Cary: Measures for 2022-04-01 - 2022-04-30,May/06/2022 2:57 PM,Measures Submitted
Atrium Health Lincoln,5,2,1,0,0,0,1,0,0,Yes,340145,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,High,ess_service_account,Atrium Health Lincoln: Measures for 2022-04-01 - 2022-04-30,May/06/2022 10:36 AM,Measures Submitted
Atrium Health Cleveland,6,8,0,0,0,0,0,0,0,Yes,340021,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Atrium Health Cleveland: Measures for 2022-04-01 - 2022-04-30,May/06/2022 10:33 AM,Measures Submitted
Atrium Health University,6,7,1,0,0,0,0,0,0,Yes,340166,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Atrium Health University: Measures for 2022-04-01 - 2022-04-30,May/06/2022 10:30 AM,Measures Submitted
Atrium Health Union,6,3,2,0,0,0,0,0,0,Yes,340130,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Atrium Health Union: Measures for 2022-04-01 - 2022-04-30,May/06/2022 10:27 AM,Measures Submitted
United Health Services Hospitals,0,0,0,0,0,0,0,0,0,No,330394,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,United Health Services Hospitals: Measures for 2022-04-01 - 2022-04-30,May/06/2022 10:27 AM,Measures Submitted
Atrium Health Pineville,3,0,0,0,0,0,0,0,0,Yes,340098,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Atrium Health Pineville: Measures for 2022-04-01 - 2022-04-30,May/06/2022 10:25 AM,Measures Submitted
Carolinas Medical Center,4,5,0,0,0,0,0,0,0,Yes,340113,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Carolinas Medical Center: Measures for 2022-04-01 - 2022-04-30,May/06/2022 10:22 AM,Measures Submitted
Atrium Health Cabarrus,11,3,0,0,0,0,1,0,0,Yes,340001,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Atrium Health Cabarrus: Measures for 2022-04-01 - 2022-04-30,May/06/2022 10:19 AM,Measures Submitted
Mayo Clinic Health System-Northwest Wisconsin Region,27,5,5,0,0,0,2,0,0,Yes,520070,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Mayo Clinic Health System-Northwest Wisconsin Region: Measures for 2022-04-01 - 2022-04-30,May/05/2022 4:47 PM,Measures Submitted
Mayo Clinic Florida,53,0,0,1,0,0,5,0,0,Yes,100151,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Critical,ess_service_account,Mayo Clinic Florida: Measures for 2022-04-01 - 2022-04-30,May/05/2022 4:43 PM,Measures Submitted
San Joaquin Community Hospital dba Adventist Health Bakersfield,2,1,1,0,0,0,0,0,0,Yes,50455,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,San Joaquin Community Hospital dba Adventist Health Bakersfield: Measures for 2022-04-01 - 2022-04-30,May/04/2022 5:27 PM,Measures Submitted
Hanford Community Hospital dba Adventist Health Hanford,0,0,0,0,0,0,0,0,0,No,50121,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Hanford Community Hospital dba Adventist Health Hanford: Measures for 2022-04-01 - 2022-04-30,May/04/2022 5:16 PM,Measures Submitted
Adventist Health Ukiah Valley,0,0,0,0,0,0,0,0,0,No,50301,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Adventist Health Ukiah Valley: Measures for 2022-04-01 - 2022-04-30,May/04/2022 5:15 PM,Measures Submitted
UnityPoint Health System,2,0,0,0,0,0,0,0,0,Yes,160082,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,UnityPoint Health System: Measures for 2022-04-01 - 2022-04-30,May/04/2022 4:11 PM,Measures Submitted
Massachusetts General Hospital,9,8,5,0,0,0,1,1,1,Yes,220071,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Massachusetts General Hospital: Measures for 2022-04-01 - 2022-04-30,May/04/2022 3:30 PM,Measures Submitted
UC San Diego Health,0,0,0,0,0,0,0,0,0,No,50025,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,UC San Diego Health: Measures for 2022-04-01 - 2022-04-30,May/04/2022 3:06 PM,Measures Submitted
South Shore Health,0,0,0,0,0,0,0,0,0,No,220100,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,South Shore Health: Measures for 2022-04-01 - 2022-04-30,May/03/2022 3:43 PM,Measures Submitted
Vanderbilt University Medical Center,7,1,1,0,0,0,0,0,0,Yes,440039,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Vanderbilt University Medical Center: Measures for 2022-04-01 - 2022-04-30,May/03/2022 3:12 PM,Measures Submitted
Vanderbilt University Medical Center,7,1,1,1,0,0,0,0,0,Yes,440039,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Critical,ess_service_account,Vanderbilt University Medical Center: Measures for 2022-04-01 - 2022-04-30,May/03/2022 9:45 AM,Measures Submitted
Marshfield Medical Center-Marshfield,0,0,0,0,0,0,0,0,0,No,520037,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Marshfield Medical Center-Marshfield: Measures for 2022-04-01 - 2022-04-30,May/02/2022 10:24 PM,Measures Submitted
Saint Thomas West Hospital,8,0,0,0,0,0,0,0,0,Yes,440082,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Saint Thomas West Hospital: Measures for 2022-04-01 - 2022-04-30,May/02/2022 3:45 PM,Measures Submitted
Abbott Northwestern Hospital,0,0,0,0,0,0,0,0,0,No,240057,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Abbott Northwestern Hospital: Measures for 2022-04-01 - 2022-04-30,May/02/2022 3:36 PM,Measures Submitted
St. Francis Regional Medical Center,0,0,0,0,0,0,0,0,0,No,240104,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,St. Francis Regional Medical Center: Measures for 2022-04-01 - 2022-04-30,May/02/2022 3:35 PM,Measures Submitted
Mercy Hospital,0,0,0,0,0,0,0,0,0,No,240115,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Mercy Hospital: Measures for 2022-04-01 - 2022-04-30,May/02/2022 3:35 PM,Measures Submitted
United Hospital,0,0,0,0,0,0,0,0,0,No,240038,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,United Hospital: Measures for 2022-04-01 - 2022-04-30,May/02/2022 3:34 PM,Measures Submitted
Greenville Memorial Hospital,0,0,0,0,0,0,0,0,0,No,420078,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Greenville Memorial Hospital: Measures for 2022-04-01 - 2022-04-30,May/02/2022 2:06 PM,Measures Submitted
Sentara Norfolk General Hospital,0,0,0,0,0,0,0,0,0,No,490007,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Sentara Norfolk General Hospital: Measures for 2022-04-01 - 2022-04-30,May/02/2022 1:59 PM,Measures Submitted
Geisinger Lewistown Hospital,0,0,0,0,0,0,0,0,0,No,390048,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Geisinger Lewistown Hospital: Measures for 2022-04-01 - 2022-04-30,May/02/2022 10:30 AM,Measures Submitted
Geisinger-Community Medical Center,0,0,0,0,0,0,0,0,0,No,390001,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Geisinger-Community Medical Center: Measures for 2022-04-01 - 2022-04-30,May/02/2022 10:30 AM,Measures Submitted
Geisinger Wyoming Valley Medical Center,0,0,0,0,0,0,0,0,0,No,390270,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Geisinger Wyoming Valley Medical Center: Measures for 2022-04-01 - 2022-04-30,May/02/2022 10:29 AM,Measures Submitted
Geisinger Medical Center,0,0,0,0,0,0,0,0,0,No,390006,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Geisinger Medical Center: Measures for 2022-04-01 - 2022-04-30,May/02/2022 10:29 AM,Measures Submitted
Indiana University Health Methodist Hospital,0,0,0,0,0,0,0,0,0,No,150056,AHCAH Measure - Tier 1,Apr/01/2022 12:00 AM,Apr/30/2022 12:00 AM,Medium,ess_service_account,Indiana University Health Methodist Hospital: Measures for 2022-04-01 - 2022-04-30,May/02/2022 8:00 AM,Measures Submitted
South Shore Health,0,0,0,0,0,0,0,0,0,No,220100,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,South Shore Health: Measures for 2022-03-01 - 2022-03-31,Apr/11/2022 10:14 AM,Measures Submitted
Presbyterian Hospital/Presbyterian Healthcare Services,1,0,0,0,0,0,0,0,0,Yes,320021,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Presbyterian Hospital/Presbyterian Healthcare Services: Measures for 2022-03-01 - 2022-03-31,Apr/08/2022 2:37 PM,Measures Submitted
Regions Hospital,2,0,0,0,0,0,0,0,0,Yes,240106,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Regions Hospital: Measures for 2022-03-01 - 2022-03-31,Apr/08/2022 12:48 PM,Measures Submitted
Johnson City Medical Center,0,0,0,0,0,0,0,0,0,No,440063,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Johnson City Medical Center: Measures for 2022-03-01 - 2022-03-31,Apr/08/2022 9:38 AM,Measures Submitted
Holston Valley Medical Center,0,0,0,0,0,0,0,0,0,No,440017,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Holston Valley Medical Center: Measures for 2022-03-01 - 2022-03-31,Apr/08/2022 9:37 AM,Measures Submitted
Bristol Regional Medical Center,0,0,0,0,0,0,0,0,0,No,440012,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Bristol Regional Medical Center: Measures for 2022-03-01 - 2022-03-31,Apr/08/2022 9:37 AM,Measures Submitted
Indian Path Community Hospital,0,0,0,0,0,0,0,0,0,No,440176,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Indian Path Community Hospital: Measures for 2022-03-01 - 2022-03-31,Apr/08/2022 9:36 AM,Measures Submitted
Abbott Northwestern Hospital,0,0,0,0,0,0,0,0,0,No,240057,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Abbott Northwestern Hospital: Measures for 2022-03-01 - 2022-03-31,Apr/08/2022 9:25 AM,Measures Submitted
St. Francis Regional Medical Center,0,0,0,0,0,0,0,0,0,No,240104,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,St. Francis Regional Medical Center: Measures for 2022-03-01 - 2022-03-31,Apr/08/2022 9:25 AM,Measures Submitted
Mercy Hospital,0,0,0,0,0,0,0,0,0,No,240115,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Mercy Hospital: Measures for 2022-03-01 - 2022-03-31,Apr/08/2022 9:24 AM,Measures Submitted
United Hospital,0,0,0,0,0,0,0,0,0,No,240038,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,United Hospital: Measures for 2022-03-01 - 2022-03-31,Apr/08/2022 9:23 AM,Measures Submitted
Mount Sinai Beth Israel Hospital,0,0,0,0,0,0,0,0,0,No,330169,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Mount Sinai Beth Israel Hospital: Measures for 2022-03-01 - 2022-03-31,Apr/08/2022 9:10 AM,Measures Submitted
Mount Sinai Morningside Hospital,0,0,0,0,0,0,0,0,0,No,330046,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Mount Sinai Morningside Hospital: Measures for 2022-03-01 - 2022-03-31,Apr/08/2022 9:07 AM,Measures Submitted
Mount Sinai Hospital,7,0,0,0,0,0,0,0,0,Yes,330024,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Mount Sinai Hospital: Measures for 2022-03-01 - 2022-03-31,Apr/08/2022 9:06 AM,Measures Submitted
OSF Saint Francis Medical Center,0,0,0,0,0,0,0,0,0,No,140067,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,OSF Saint Francis Medical Center: Measures for 2022-03-01 - 2022-03-31,Apr/07/2022 5:12 PM,Measures Submitted
Methodist Hospital,0,0,0,0,0,0,0,0,0,No,240053,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Methodist Hospital: Measures for 2022-03-01 - 2022-03-31,Apr/07/2022 1:31 PM,Measures Submitted
United Health Services Hospitals,0,0,0,0,0,0,0,0,0,No,330394,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,United Health Services Hospitals: Measures for 2022-03-01 - 2022-03-31,Apr/07/2022 10:17 AM,Measures Submitted
Kaiser Foundation Hospital - Westside,0,0,0,0,0,0,0,0,0,Yes,380103,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Kaiser Foundation Hospital - Westside: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 6:10 PM,Measures Submitted
Kaiser Sunnyside Medical Center,0,0,0,0,0,0,0,0,0,Yes,380091,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Kaiser Sunnyside Medical Center: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 6:09 PM,Measures Submitted
Brigham and Women's Hospital,29,18,11,0,0,0,0,0,0,Yes,220110,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Brigham and Women's Hospital: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 5:44 PM,Measures Submitted
UnityPoint Health System,4,0,0,0,0,0,0,0,0,Yes,160082,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,UnityPoint Health System: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 2:34 PM,Measures Submitted
Atrium Health Lincoln,2,2,0,0,0,0,0,0,0,Yes,340145,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Lincoln: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 1:46 PM,Measures Submitted
Atrium Health Cleveland,11,8,1,0,0,0,0,0,0,Yes,340021,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Cleveland: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 1:42 PM,Measures Submitted
Atrium Health University,3,4,2,0,0,0,0,0,0,Yes,340166,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health University: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 1:39 PM,Measures Submitted
Atrium Health Union,1,0,0,0,0,0,0,0,0,Yes,340130,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Union: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 1:35 PM,Measures Submitted
Atrium Health Pineville,4,3,1,0,0,0,0,0,0,Yes,340098,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Pineville: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 1:32 PM,Measures Submitted
Carolinas Medical Center,9,7,0,0,0,0,3,0,0,Yes,340113,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,High,ess_service_account,Carolinas Medical Center: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 1:28 PM,Measures Submitted
San Joaquin Community Hospital dba Adventist Health Bakersfield,1,7,1,0,0,0,0,3,0,Yes,50455,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,High,ess_service_account,San Joaquin Community Hospital dba Adventist Health Bakersfield: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 1:27 PM,Measures Submitted
Atrium Health Cabarrus,9,4,3,0,0,0,0,0,0,Yes,340001,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Atrium Health Cabarrus: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 1:25 PM,Measures Submitted
Hanford Community Hospital dba Adventist Health Hanford,4,1,1,0,0,0,1,0,0,Yes,50121,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,High,ess_service_account,Hanford Community Hospital dba Adventist Health Hanford: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 1:21 PM,Measures Submitted
WakeMed Health and Hospitals- Raleigh,3,3,0,0,0,0,0,1,0,Yes,340069,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,High,ess_service_account,WakeMed Health and Hospitals- Raleigh: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 11:06 AM,Measures Submitted
Massachusetts General Hospital,10,3,0,0,0,0,0,0,0,Yes,220071,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,Massachusetts General Hospital: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 10:55 AM,Measures Submitted
WakeMed Health and Hospitals- Cary,2,0,0,0,0,0,0,0,0,Yes,340173,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Cary: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 9:26 AM,Measures Submitted
WakeMed Health and Hospitals- Raleigh,3,3,0,0,0,0,0,0,0,Yes,340069,AHCAH Measure - Tier 1,Mar/01/2022 12:00 AM,Mar/31/2022 12:00 AM,Medium,ess_service_account,WakeMed Health and Hospitals- Raleigh: Measures for 2022-03-01 - 2022-03-31,Apr/06/2022 9:10 AM,Measures Submitted
